FIPS,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,repgov14,demgov14,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,Density,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThous,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismperThou,OrthodoxJudaismAdherents,OrthodoxJudaismperThousand,ReconstructionistJudaism,ReconstructionismJudaismperThou,ReformJudaismAdherents,ReformJudaismperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand
29105,12881,2553,617,10934,4093,335,3965,11316,763,2353,12908,580,.,.,94.01492748,0.473172793,2.2476,5.985072525,0.69849317,50.40698493,38.03689621,16.71032249,40436,8.433290275,18.22063762,86.3272667,17.54808746,86.13241029,60.51277726,6,46,85,18666.00,524.75,14411.00,405.13,.,.,2090.00,58.76,1488.00,41.83,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29107,10988,4053,835,9803,5655,337,6150,8812,903,5744,9505,490,.,.,92.28704749,1.997621153,2.6503,7.712952515,1.421208332,50.8341212,37.00021349,17.84744884,50830,5.693313595,11.0820631,81.6775966,9.588781505,81.54254311,56.94856355,1,52,86,21332.00,639.05,12733.00,381.44,761.00,22.80,4727.00,141.61,1378.00,41.28,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29109,13089,2901,725,11421,4017,317,4336,11525,831,3813,11622,987,.,.,89.91728615,0.497330123,7.0045,10.08271385,2.866192022,50.06020312,38.54308449,17.30185321,40505,6.977147816,15.9219191,83.79194105,14.69520432,83.3122256,58.68664907,6,62,108,23572.00,610.14,16970.00,439.25,.,.,3087.00,79.90,2474.00,64.04,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29111,3344,934,178,2677,1508,94,1472,2732,214,899,3270,144,.,.,92.80504632,2.897693672,1.7051,7.194953676,1.636112754,49.79302188,40.4100138,17.83954268,45708,4.794655139,12.15193705,86.06234867,11.4959115,85.63411897,100,9,20,37,5906.00,578.40,4213.00,412.59,.,.,1253.00,122.71,440.00,43.09,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29113,18159,5575,1228,14332,7734,586,9264,14061,1475,6429,16826,1114,.,.,93.48819217,1.733411929,2.2418,6.511807833,1.197362119,49.93552666,41.18557271,12.27388277,55249,8.116501913,12.77318537,84.78654739,12.32929581,84.77021731,74.82973785,1,87,66,16004.00,304.46,6705.00,127.55,.,.,3624.00,68.94,5670.00,107.86,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29115,4088,1240,259,3344,2041,165,2058,3245,262,1235,4102,154,.,.,95.20253267,0.332819222,1.9401,4.797467327,0.560110399,52.10650215,35.98506372,20.14773926,39286,3.749774653,11.84537179,85.42380896,11.244488,85.54630083,66.45247238,7,20,50,8633.00,676.51,4550.00,356.56,.,.,2970.00,232.74,994.00,77.89,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29117,4879,1265,277,4006,1906,142,2208,3834,305,1112,4989,170,.,.,93.31208076,2.796041708,1.5209,6.68791924,0.743840074,55.01759979,35.35896925,19.63870625,44266,4.348450057,13.96742183,80.22842164,12.57717586,79.60565624,36.6041461,6,28,41,10897.00,717.14,6823.00,449.03,120.00,7.90,2469.00,162.49,1092.00,71.87,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29119,6599,1329,314,5694,1920,203,1793,5812,571,1428,6271,349,.,.,78.70158451,1.852992958,11.4305,21.29841549,9.080105634,49.07570423,40.39612676,13.85123239,38846,6.026307739,21.78458218,86.6999393,17.9959596,85.17171717,99.99133561,2,42,47,7400.00,320.58,5477.00,237.27,.,.,1022.00,44.28,567.00,24.56,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29121,5798,1548,275,4701,2309,150,2323,4894,334,1573,5688,228,.,.,94.122995,2.168972011,1.1884,5.877005,0.766283525,50.67861549,36.19715566,21.17020586,37099,8.465909091,12.55411255,84.18031244,11.59976387,83.80558835,67.7887704,7,19,59,11078.00,711.68,8625.00,554.09,123.00,7.90,1826.00,117.31,180.00,11.56,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29123,4102,1005,214,3227,1588,115,1766,3203,320,1079,3684,460,.,.,94.96895912,1.427074095,0.8385,5.031040877,0.935257599,50.92316375,36.30573248,18.91477868,36359,6.063381572,20.00932836,87.73320896,20.70098576,89.01058781,65.50793391,6,25,44,5710.00,467.04,4205.00,343.94,.,.,879.00,71.90,436.00,35.66,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29125,3561,794,145,3165,1299,74,1339,2978,177,825,3490,141,.,.,96.08323133,0.489596083,1.8916,3.916768666,0.30043396,50.45065094,33.99354623,19.53933459,40542,9.184184184,17.40223025,86.03738024,16.53402631,85.56114991,100,8,17,26,4185.00,456.08,2634.00,287.05,.,.,706.00,76.94,706.00,76.94,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
