FIPS,CountyPopulation,ClintonorTrumpState,Clinton,Trump,Total,PCTClinton,PCTTrump,PercentDifferenceC_T,PercentDifferenceT_C,Obama,Romney,2012TotalVotes,PCTObama,PCTRomney,VoteDifferenceO_R,PCTDifferenceO_R,ClintonBreakwithObama,TrumpbreakwithRomney,2010LandArea,Density,CBSACode,CSACode,CBSATitle,CBSAPopulation,Metropolitan_MicropolitanStatisticalArea,Central_OutlyingCounty,POP2010,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThousand,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,Baha'IAdherents,Baha'IAdherentsperThousand,"Buddhism,MahayanaAdherents","Buddhism,MahayanaAdherentsperThousand","Buddhism,TheravadaAdherents","Buddhism,TheravadaAdherentsperThousand","Buddhism,VajrayanaAdherents","Buddhism,VajrayanaAdherentsperThousand",TotalBuddhistAdherents,TotalBuddhistAdherentsperThousand,LatterDaySaintsAdherents,LatterDaySaintsAdherentsperThousand,Indian-AmericanHinduAdherents,Indian-AmericanHinduAdherentsperThousand,PostRenaissanceHinduAdherents,PostRenaissanceHinduAdherentsperThousand,RenaissanceHinduAdherents,RenaissanceHinduAdherentsperThousand,TraditionalHinduTemplesAdherents,TraditionalHinduTemplesAdherentsperThousand,TotalHinduAdherents,TotalHindusAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismAdherentsperThousand,OrthodoxJudaismAdherents,OrthodoxJudaismAdherentsperThousand,ReconstructionistJudaismAdherents,ReconstructionismJudaismAdherentsperThousand,ReformJudaismAdherents,ReformJudaismAdherentsperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand,UnitarianUniversalistAdherents,UnitarianUniversalistAdherentsperThousand,ZoroastrianAdherents,ZoroastrianAdherentsperThousand
38091,"1,956",Trump,361,537,984,0.3669,0.5457,-0.1789,0.1789,515,495,"1,028",0.501,0.4815,20,0.0195,-154,42,712,3,,,,,,"Not Metro or Micro, Presumed Rural",1975,15,"1,564",791.9,138,69.87,,,"1,245",630.38,178,90.13,,,3,1.52,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38093,"21,103",Trump,"2,484","6,706","9,938",0.2499,0.6748,-0.4248,0.4248,"3,561","5,641","9,431",0.3776,0.5981,"-2,080",-0.2205,"-1,077","1,065",2222,9,27420,,"Jamestown, ND",,Micropolitan Statistical Area,Central,21100,49,"13,721",650.28,"2,654",125.78,,,"8,099",383.84,"2,663",126.21,,,13,0.62,,,,,,, -   ,0,292,13.84,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38095,"2,272",Trump,305,733,"1,137",0.2682,0.6447,-0.3764,0.3764,511,619,"1,164",0.439,0.5318,-108,-0.0928,-206,114,1025,2,,,,,,"Not Metro or Micro, Presumed Rural",2246,10,"1,247",555.21,273,121.55,,,514,228.85,460,204.81,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38097,"8,014",Trump,"1,239","2,263","3,864",0.3207,0.5857,-0.265,0.265,"1,784","1,963","3,841",0.4645,0.5111,-179,-0.0466,-545,300,862,9,,,,,,"Not Metro or Micro, Presumed Rural",8121,31,"6,105",751.75,527,64.89,,,"4,922",606.08,652,80.29,,,4,0.49,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38099,"10,897",Trump,"1,166","2,991","4,543",0.2567,0.6584,-0.4017,0.4017,"2,118","2,809","5,061",0.4185,0.555,-691,-0.1365,-952,182,1282,9,,,,,,"Not Metro or Micro, Presumed Rural",11119,41,"8,320",748.27,684,61.52,,,"4,315",388.07,"3,320",298.59,,,1,0.09,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38101,"71,275",Trump,"5,792","18,601","26,861",0.2156,0.6925,-0.4769,0.4769,"8,412","16,176","25,231",0.3334,0.6411,"-7,764",-0.3077,"-2,620","2,425",2013,35,33500,,"Minot, ND",,Micropolitan Statistical Area,Central,61675,89,"32,697",530.15,"8,623",139.81,,,"11,368",184.32,"11,445",185.57,60,0.97,29,0.47,,,,,,, -   ,0,"1,152",18.68,,,,,,,,, -   ,0,20,0.32,,,,,,,,, -   ,0,,,,
38103,"4,168",Trump,419,"1,793","2,352",0.1781,0.7623,-0.5842,0.5842,671,"1,646","2,359",0.2844,0.6978,-975,-0.4133,-252,147,1271,3,,,,,,"Not Metro or Micro, Presumed Rural",4207,29,"3,690",877.11,"1,192",283.34,,,"1,525",362.49,973,231.28,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38105,"35,294",Trump,"1,722","10,033","12,529",0.1374,0.8008,-0.6633,0.6633,"2,288","7,087","9,600",0.2383,0.7382,"-4,799",-0.4999,-566,"2,946",2077,17,48780,,"Williston, ND",,Micropolitan Statistical Area,Central,22398,51,"12,897",575.81,"2,566",114.56,,,"6,402",285.83,"3,248",145.01,,,2,0.09,,,,,,, -   ,0,679,30.32,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39001,"28,024",Trump,"2,293","8,445","11,063",0.2073,0.7634,-0.5561,0.5561,"3,857","6,691","10,787",0.3576,0.6203,"-2,834",-0.2627,"-1,564","1,754",584,48,,,,,,"Not Metro or Micro, Presumed Rural",28550,84,"6,965",243.96,"4,464",156.36,,,"1,679",58.81,500,17.51,,,9,0.32,,,,,,, -   ,0,313,10.96,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39003,"104,425",Trump,"12,815","29,858","44,636",0.2871,0.6689,-0.3818,0.3818,"16,869","28,802","46,458",0.3631,0.62,"-11,933",-0.2569,"-4,054","1,056",403,259,30620,338,"Lima, OH","104,425",Metropolitan Statistical Area,Central,106331,156,"55,482",521.79,"17,301",162.71,"4,351",40.92,"14,934",140.45,"17,946",168.77,,,20,0.19,,,,,,, -   ,0,,,,,,,,,,, -   ,0,616,5.79,,,,,,,157,1.48,157,1.48,24,0.23,,
39005,"53,213",Trump,"5,659","17,169","24,074",0.2351,0.7132,-0.4781,0.4781,"8,083","15,225","23,826",0.3393,0.639,"-7,142",-0.2998,"-2,424","1,944",423,126,11740,360,"Ashland, OH",,Micropolitan Statistical Area,Central,53139,110,"23,221",436.99,"13,723",258.25,61,1.15,"7,318",137.71,"1,509",28.4,42,0.79,4,0.08,,,,,,, -   ,0,256,4.82,,,,,,,,, -   ,0,308,5.8,,,,,,,,, -   ,0,,,,
39007,"98,632",Trump,"15,191","22,755","39,809",0.3816,0.5716,-0.19,0.19,"22,964","17,890","41,781",0.5496,0.4282,"5,074",0.1214,"-7,773","4,865",702,141,11780,184,"Ashtabula, OH",,Micropolitan Statistical Area,Central,101497,160,"36,683",361.42,"9,418",92.79,"1,097",10.81,"11,475",113.06,"14,134",139.26,,,11,0.11,,,,,,, -   ,0,516,5.08,,,,,,,,, -   ,0,,,,,,,,,32,0.32,32,0.32,,,,
39009,"65,886",Trump,"15,552","10,816","27,941",0.5566,0.3871,0.1695,-0.1695,"17,268","8,118","26,112",0.6613,0.3109,"9,150",0.3504,"-1,716","2,698",504,131,11900,,"Athens, OH",,Micropolitan Statistical Area,Central,64757,97,"13,103",202.34,"5,093",78.65,,,"5,174",79.9,"1,946",30.05,,,7,0.11,,,,,71,1.1,71,1.1,429,6.62,,,,,,,,, -   ,0,308,4.76,,,,,,,,, -   ,0,75,1.16,,
39011,"45,876",Trump,"3,825","18,130","22,860",0.1673,0.7931,-0.6258,0.6258,"5,643","16,802","22,838",0.2471,0.7357,"-11,159",-0.4886,"-1,818","1,328",401,114,47540,338,"Wapakoneta, OH",,Micropolitan Statistical Area,Central,45949,70,"26,884",585.08,"4,720",102.72,,,"9,656",210.15,"11,646",253.45,60,1.31,,,,,,,,, -   ,0,802,17.45,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39013,"69,154",Trump,"8,652","20,729","30,537",0.2833,0.6788,-0.3955,0.3955,"13,826","16,418","30,876",0.4478,0.5317,"-2,592",-0.0839,"-5,174","4,311",532,130,48540,,"Wheeling, WV-OH","144,198",Metropolitan Statistical Area,Central,70400,144,"26,764",380.17,"7,732",109.83,176,2.5,"10,012",142.22,"8,179",116.18,463,6.58,5,0.07,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,79,1.12,,
39015,"43,839",Trump,"4,270","14,257","19,139",0.2231,0.7449,-0.5218,0.5218,"6,923","11,671","18,955",0.3652,0.6157,"-4,748",-0.2505,"-2,653","2,586",490,89,17140,178,"Cincinnati, OH-KY-IN","2,157,719",Metropolitan Statistical Area,Outlying,44846,69,"14,805",330.13,"9,242",206.08,246,5.49,"2,067",46.09,"2,870",64,,,4,0.09,,,,,,, -   ,0,376,8.38,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39017,"376,353",Trump,"56,700","104,441","168,422",0.3367,0.6201,-0.2835,0.2835,"59,282","102,226","164,020",0.3614,0.6233,"-42,944",-0.2618,"-2,582","2,215",467,806,17140,178,"Cincinnati, OH-KY-IN","2,157,719",Metropolitan Statistical Area,Central,368130,333,"138,939",377.42,"63,088",171.37,"2,609",7.09,"22,088",60,"44,417",120.66,90,0.24,43,0.12,28,0.08,,,,,28,0.08,"3,911",10.62,,,,,,,,, -   ,0,"2,000",5.43,305,0.83,,,,,148,0.4,453,1.23,64,0.17,15,0.04
39019,"27,811",Trump,"3,124","9,067","12,807",0.2439,0.708,-0.464,0.464,"5,396","7,177","12,965",0.4162,0.5536,"-1,781",-0.1374,"-2,272","1,890",395,70,15940,184,"Canton-Massillon, OH","402,976",Metropolitan Statistical Area,Outlying,28836,47,"8,505",294.94,"2,169",75.22,,,"4,509",156.37,"1,826",63.32,,,1,0.03,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39021,"38,987",Trump,"4,488","12,314","17,597",0.255,0.6998,-0.4447,0.4447,"7,826","11,852","20,016",0.391,0.5921,"-4,026",-0.2011,"-3,338",462,429,91,46500,212,"Urbana, OH",,Micropolitan Statistical Area,Central,40097,72,"11,408",284.51,"4,159",103.72,431,10.75,"5,298",132.13,"1,488",37.11,25,0.62,7,0.17,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
39023,"135,959",Trump,"22,666","34,311","59,620",0.3802,0.5755,-0.1953,0.1953,"30,022","31,116","62,136",0.4832,0.5008,"-1,094",-0.0176,"-7,356","3,195",397,342,44220,212,"Springfield, OH","135,959",Metropolitan Statistical Area,Central,138333,184,"43,489",314.38,"18,482",133.61,"1,281",9.26,"12,863",92.99,"9,130",66,225,1.63,15,0.11,,,,,,, -   ,0,937,6.77,,,,,,,,, -   ,0,348,2.52,,,,,,,208,1.5,208,1.5,,,,
39025,"201,973",Trump,"26,096","65,960","96,455",0.2706,0.6838,-0.4133,0.4133,"29,334","62,527","93,392",0.3141,0.6695,"-33,193",-0.3554,"-3,238","3,433",452,447,17140,178,"Cincinnati, OH-KY-IN","2,157,719",Metropolitan Statistical Area,Central,197363,176,"71,619",362.88,"29,343",148.68,262,1.33,"10,040",50.87,"31,460",159.4,239,1.21,27,0.14,11,0.06,,,,,11,0.06,,,,,,,,,,, -   ,0,100,0.51,,,,,,,,, -   ,0,,,4,0.02
